 format: day,hour,forecast,value  location:53_124 Start : 20260706 
 6,2300,+55,4.000000 
 6,2300,+56,4.000000 
 6,2300,+57,4.000000 
 6,2300,+58,4.000000 
 6,2300,+59,4.000000 
 6,2300,+60,4.000000 
 6,2300,+61,4.000000 
 6,2300,+62,4.000000 
 6,2300,+63,4.000000 
 6,2300,+64,4.000000 
 6,2300,+67,4.000000 
 6,2300,+70,4.000000 
 6,2300,+73,4.000000 
 6,2300,+76,4.000000 
 6,2300,+79,3.000000 
 6,2300,+82,1.000000 
 6,2300,+85,3.000000 
 6,2300,+88,3.000000 
 Start : 20260707 
 7,0200,+6,4.000000 
 7,0200,+7,4.000000 
 7,0200,+8,4.000000 
 7,0200,+9,4.000000 
 7,0200,+10,4.000000 
 7,0200,+11,4.000000 
 7,0200,+12,4.000000 
 7,0200,+13,4.000000 
 7,0200,+14,4.000000 
 7,0200,+15,4.000000 
 7,0200,+16,4.000000 
 7,0200,+17,4.000000 
 7,0200,+18,4.000000 
 7,0200,+19,4.000000 
 7,0200,+20,4.000000 
 7,0200,+21,4.000000 
 7,0200,+22,4.000000 
 7,0200,+23,4.000000 
 7,0200,+24,4.000000 
 7,0200,+25,4.000000 
 7,0200,+26,4.000000 
 7,0200,+27,4.000000 
 7,0200,+28,4.000000 
 7,0200,+29,4.000000 
 7,0200,+30,4.000000 
 7,0200,+31,4.000000 
 7,0200,+32,4.000000 
 7,0200,+33,4.000000 
 7,0200,+34,4.000000 
 7,0200,+35,4.000000 
 7,0200,+36,4.000000 
 7,0200,+37,4.000000 
 7,0200,+38,4.000000 
 7,0200,+39,4.000000 
 7,0200,+40,4.000000 
 7,0200,+41,4.000000 
 7,0200,+42,4.000000 
 7,0200,+43,4.000000 
 7,0200,+44,4.000000 
 7,0200,+45,4.000000 
 7,0200,+46,4.000000 
 7,0200,+47,4.000000 
 7,0200,+48,4.000000 
 7,0200,+49,4.000000 
 7,0200,+50,4.000000 
 7,0200,+51,4.000000 
 7,0200,+52,4.000000 
 7,0200,+53,4.000000 
 7,0200,+54,4.000000 
 7,0200,+55,4.000000 
 7,0200,+56,4.000000 
 7,0200,+57,4.000000 
 7,0200,+58,4.000000 
 7,0200,+59,4.000000 
 7,0200,+60,4.000000 
 7,0200,+61,4.000000 
 7,0200,+64,4.000000 
 7,0200,+67,4.000000 
 7,0200,+70,4.000000 
 7,0200,+73,4.000000 
 7,0200,+76,3.000000 
 7,0200,+79,1.000000 
 7,0200,+82,3.000000 
 7,0200,+85,3.000000 
 7,0500,+6,4.000000 
 7,0500,+7,4.000000 
 7,0500,+8,4.000000 
 7,0500,+9,4.000000 
 7,0500,+10,4.000000 
 7,0500,+11,4.000000 
 7,0500,+12,4.000000 
 7,0500,+13,4.000000 
 7,0500,+14,4.000000 
 7,0500,+15,4.000000 
 7,0500,+16,4.000000 
 7,0500,+17,4.000000 
 7,0500,+18,4.000000 
 7,0500,+19,4.000000 
 7,0500,+20,4.000000 
 7,0500,+21,4.000000 
 7,0500,+22,4.000000 
 7,0500,+23,4.000000 
 7,0500,+24,4.000000 
 7,0500,+25,4.000000 
 7,0500,+26,4.000000 
 7,0500,+27,4.000000 
 7,0500,+28,4.000000 
 7,0500,+29,4.000000 
 7,0500,+30,4.000000 
 7,0500,+31,4.000000 
 7,0500,+32,4.000000 
 7,0500,+33,4.000000 
 7,0500,+34,4.000000 
 7,0500,+35,4.000000 
 7,0500,+36,4.000000 
 7,0500,+37,4.000000 
 7,0500,+38,4.000000 
 7,0500,+39,4.000000 
 7,0500,+40,4.000000 
 7,0500,+41,4.000000 
 7,0500,+42,4.000000 
 7,0500,+43,4.000000 
 7,0500,+44,4.000000 
 7,0500,+45,4.000000 
 7,0500,+46,4.000000 
 7,0500,+47,4.000000 
 7,0500,+48,4.000000 
 7,0500,+49,4.000000 
 7,0500,+50,4.000000 
 7,0500,+51,4.000000 
 7,0500,+52,4.000000 
 7,0500,+53,4.000000 
 7,0500,+54,4.000000 
 7,0500,+55,4.000000 
 7,0500,+56,4.000000 
 7,0500,+57,4.000000 
 7,0500,+58,4.000000 
 7,0500,+61,4.000000 
 7,0500,+64,4.000000 
 7,0500,+67,4.000000 
 7,0500,+70,4.000000 
 7,0500,+73,3.000000 
 7,0500,+76,1.000000 
 7,0500,+79,3.000000 
 7,0500,+82,3.000000 
 7,0800,+6,4.000000 
 7,0800,+7,4.000000 
 7,0800,+8,4.000000 
 7,0800,+9,4.000000 
 7,0800,+10,4.000000 
 7,0800,+11,4.000000 
 7,0800,+12,4.000000 
 7,0800,+13,4.000000 
 7,0800,+14,4.000000 
 7,0800,+15,4.000000 
 7,0800,+16,4.000000 
 7,0800,+17,4.000000 
 7,0800,+18,4.000000 
 7,0800,+19,4.000000 
 7,0800,+20,4.000000 
 7,0800,+21,4.000000 
 7,0800,+22,4.000000 
 7,0800,+23,4.000000 
 7,0800,+24,4.000000 
 7,0800,+25,4.000000 
 7,0800,+26,4.000000 
 7,0800,+27,4.000000 
 7,0800,+28,4.000000 
 7,0800,+29,4.000000 
 7,0800,+30,4.000000 
 7,0800,+31,4.000000 
 7,0800,+32,4.000000 
 7,0800,+33,4.000000 
 7,0800,+34,4.000000 
 7,0800,+35,4.000000 
 7,0800,+36,4.000000 
 7,0800,+37,4.000000 
 7,0800,+38,4.000000 
 7,0800,+39,4.000000 
 7,0800,+40,4.000000 
 7,0800,+41,4.000000 
 7,0800,+42,4.000000 
 7,0800,+43,4.000000 
 7,0800,+44,4.000000 
 7,0800,+45,4.000000 
 7,0800,+46,4.000000 
 7,0800,+47,4.000000 
 7,0800,+48,4.000000 
 7,0800,+49,4.000000 
 7,0800,+50,4.000000 
 7,0800,+51,4.000000 
 7,0800,+52,4.000000 
 7,0800,+53,4.000000 
 7,0800,+54,4.000000 
 7,0800,+55,4.000000 
 7,0800,+56,4.000000 
 7,0800,+57,4.000000 
 7,0800,+58,4.000000 
 7,0800,+59,4.000000 
 7,0800,+60,4.000000 
 7,0800,+61,4.000000 
 7,0800,+62,4.000000 
 7,0800,+63,4.000000 
 7,0800,+64,4.000000 
 7,0800,+65,4.000000 
 7,0800,+66,4.000000 
 7,0800,+67,4.000000 
 7,0800,+68,4.000000 
 7,0800,+69,4.000000 
 7,0800,+70,4.000000 
 7,0800,+71,3.000000 
 7,0800,+72,4.000000 
 7,0800,+73,4.000000 
 7,0800,+74,3.000000 
 7,0800,+75,1.000000 
 7,0800,+76,3.000000 
 7,0800,+77,4.000000 
 7,0800,+78,1.000000 
 7,0800,+79,4.000000 
 7,0800,+82,4.000000 
 7,0800,+85,4.000000 
 7,0800,+88,4.000000 
 7,0800,+91,4.000000 
 7,0800,+94,4.000000 
 7,0800,+97,4.000000 
 7,0800,+100,4.000000 
 7,0800,+103,4.000000 
 7,1100,+6,4.000000 
 7,1100,+7,4.000000 
 7,1100,+8,4.000000 
 7,1100,+9,4.000000 
 7,1100,+10,4.000000 
 7,1100,+11,4.000000 
 7,1100,+12,4.000000 
 7,1100,+13,4.000000 
 7,1100,+14,4.000000 
 7,1100,+15,4.000000 
 7,1100,+16,4.000000 
 7,1100,+17,4.000000 
 7,1100,+18,4.000000 
 7,1100,+19,4.000000 
 7,1100,+20,4.000000 
 7,1100,+21,4.000000 
 7,1100,+22,4.000000 
 7,1100,+23,4.000000 
 7,1100,+24,4.000000 
 7,1100,+25,4.000000 
 7,1100,+26,4.000000 
 7,1100,+27,4.000000 
 7,1100,+28,4.000000 
 7,1100,+29,4.000000 
 7,1100,+30,4.000000 
 7,1100,+31,4.000000 
 7,1100,+32,4.000000 
 7,1100,+33,4.000000 
 7,1100,+34,4.000000 
 7,1100,+35,4.000000 
 7,1100,+36,4.000000 
 7,1100,+37,4.000000 
 7,1100,+38,4.000000 
 7,1100,+39,4.000000 
 7,1100,+40,4.000000 
 7,1100,+41,4.000000 
 7,1100,+42,4.000000 
 7,1100,+43,4.000000 
 7,1100,+44,4.000000 
 7,1100,+45,4.000000 
 7,1100,+46,4.000000 
 7,1100,+47,4.000000 
 7,1100,+48,4.000000 
 7,1100,+49,4.000000 
 7,1100,+50,4.000000 
 7,1100,+51,4.000000 
 7,1100,+52,4.000000 
 7,1100,+53,4.000000 
 7,1100,+54,4.000000 
 7,1100,+55,4.000000 
 7,1100,+56,4.000000 
 7,1100,+57,4.000000 
 7,1100,+58,4.000000 
 7,1100,+59,4.000000 
 7,1100,+60,4.000000 
 7,1100,+61,4.000000 
 7,1100,+62,4.000000 
 7,1100,+63,4.000000 
 7,1100,+64,4.000000 
 7,1100,+65,4.000000 
 7,1100,+66,4.000000 
 7,1100,+67,4.000000 
 7,1100,+68,3.000000 
 7,1100,+69,4.000000 
 7,1100,+70,4.000000 
 7,1100,+71,3.000000 
 7,1100,+72,1.000000 
 7,1100,+73,3.000000 
 7,1100,+74,4.000000 
 7,1100,+75,1.000000 
 7,1100,+76,4.000000 
 7,1100,+79,4.000000 
 7,1100,+82,4.000000 
 7,1100,+85,4.000000 
 7,1100,+88,4.000000 
 7,1100,+91,4.000000 
 7,1100,+94,4.000000 
 7,1100,+97,4.000000 
 7,1100,+100,4.000000 
 7,1400,+6,4.000000 
 7,1400,+7,4.000000 
 7,1400,+8,4.000000 
 7,1400,+9,4.000000 
 7,1400,+10,4.000000 
 7,1400,+11,4.000000 
 7,1400,+12,4.000000 
 7,1400,+13,4.000000 
 7,1400,+14,4.000000 
 7,1400,+15,4.000000 
 7,1400,+16,4.000000 
 7,1400,+17,4.000000 
 7,1400,+18,4.000000 
 7,1400,+19,4.000000 
 7,1400,+20,4.000000 
 7,1400,+21,4.000000 
 7,1400,+22,4.000000 
 7,1400,+23,4.000000 
 7,1400,+24,4.000000 
 7,1400,+25,4.000000 
 7,1400,+26,4.000000 
 7,1400,+27,4.000000 
 7,1400,+28,4.000000 
 7,1400,+29,4.000000 
 7,1400,+30,4.000000 
 7,1400,+31,4.000000 
 7,1400,+32,4.000000 
 7,1400,+33,4.000000 
 7,1400,+34,4.000000 
 7,1400,+35,4.000000 
 7,1400,+36,4.000000 
 7,1400,+37,4.000000 
 7,1400,+38,4.000000 
 7,1400,+39,4.000000 
 7,1400,+40,4.000000 
 7,1400,+41,4.000000 
 7,1400,+42,4.000000 
 7,1400,+43,4.000000 
 7,1400,+44,4.000000 
 7,1400,+45,4.000000 
 7,1400,+46,4.000000 
 7,1400,+47,4.000000 
 7,1400,+48,4.000000 
 7,1400,+49,4.000000 
 7,1400,+50,4.000000 
 7,1400,+51,4.000000 
 7,1400,+52,4.000000 
 7,1400,+53,4.000000 
 7,1400,+54,4.000000 
 7,1400,+55,4.000000 
 7,1400,+56,4.000000 
 7,1400,+57,4.000000 
 7,1400,+58,4.000000 
 7,1400,+59,4.000000 
 7,1400,+60,4.000000 
 7,1400,+61,4.000000 
 7,1400,+62,4.000000 
 7,1400,+63,4.000000 
 7,1400,+64,4.000000 
 7,1400,+65,3.000000 
 7,1400,+66,4.000000 
 7,1400,+67,4.000000 
 7,1400,+68,3.000000 
 7,1400,+69,1.000000 
 7,1400,+70,3.000000 
 7,1400,+71,4.000000 
